Monte Carlo Particles,32814,33871,30263,29444,34413,31048,33821,37032,30817,30371,36331,30414,35371,34014,29446,28745,30005,35263,32941,36777,33600,33423,32955,33994,29238,36351,35722,31720,31887,35059,33914,30892,33407,32156,32055,33625,34258,28101,31569,34182,31832,37562,30683,31592,36748,31799,33891,31594,33608,32803,29716,33105,34347,34723,30713,34669,32944,31569,32553,30575,32989,32942,37441,35132,31471,30334,31647,31424,38164,32486,35134,36420,32306,33552,33222,33490,29896,35174,34323,30787,30836,31705,32618,33112,31554,34924,35926,34127,32820,35865,35191,33720,35074,33542,30567,36887,34066,32881,32230,31985
Disk Hits,22,20,13,19,20,18,12,20,13,14,25,30,23,22,23,17,12,28,31,10,34,28,34,20,12,17,26,12,15,28,30,16,24,21,40,13,21,36,22,24,28,20,16,17,30,8,32,11,18,24,15,18,39,29,18,19,21,24,17,31,17,59,21,15,17,27,21,14,21,22,33,21,26,12,25,26,21,32,18,18,16,15,30,35,23,14,27,13,28,25,16,10,22,20,17,22,26,18,23,13
Inner Barrel Hits,1338,1336,1265,1259,1164,1383,1086,1443,1259,1311,1323,1182,1180,1418,1302,1284,1229,1203,1307,1222,1218,1172,1180,1232,1152,1338,1364,1370,1114,1239,1254,1335,1177,1114,1238,1097,1261,1082,1132,1399,1347,1236,1244,1205,1249,1150,1378,1323,1399,1346,1079,1097,1251,1422,1120,1362,1221,1187,1139,1279,1270,1424,1138,1139,1033,1463,1228,1130,1334,1217,1111,1239,1209,1335,1198,1294,1139,1405,1427,1486,1368,1202,1258,1106,1201,1274,1263,1326,1573,1212,1393,1213,1285,1239,1290,1407,1272,1115,1335,1316
Outer Barrel Hits,2,7,6,1,3,7,13,5,7,10,6,5,6,9,9,5,3,9,14,6,0,4,12,5,1,11,5,9,6,0,2,14,4,4,10,6,0,7,4,1,9,8,8,4,8,3,5,4,4,5,7,6,8,7,5,10,3,8,6,9,6,6,14,10,5,6,17,5,11,11,5,7,3,3,3,8,4,5,10,9,6,12,7,11,5,7,3,3,7,0,2,3,9,2,4,8,0,1,6,3
