Total Particles:,3306299
Simulation:,30502,31517,28071,27206,32151,28812,31551,34646,28615,28127,34055,28100,33061,31694,27188,26493,27825,32913,30629,34531,31352,31211,30749,31524,27022,34015,33328,29392,29721,32789,31652,28612,31199,29988,29755,31305,31886,25891,29365,31798,29606,35196,28467,29326,34420,29611,31575,29446,31228,30415,27496,30927,32151,32409,28475,32387,30646,29251,30311,28279,30783,30578,35129,32842,29241,28104,29553,29192,35672,30280,32812,34110,30102,31216,30970,31206,27660,32850,32047,28549,28542,29457,30396,30912,29360,32666,33558,31883,30428,33631,32829,31444,32778,31278,28303,34485,31836,30599,29932,29769
Backscatter:,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Parent Mismatch:,20352,21104,18888,18135,21587,19305,21237,23320,19111,18991,22675,18816,22050,21337,18266,17847,18712,22331,20507,23120,21074,20911,20646,21047,18120,22829,22393,19716,20032,21944,21300,19197,20950,20150,19836,21078,21446,17497,19698,21313,19882,23796,19194,19666,23145,19894,21112,19761,20994,20416,18534,20716,21435,21851,19126,21873,20599,19648,20405,18946,20707,20520,23522,21997,19596,18842,19864,19638,23915,20433,22083,22842,20183,20790,20866,21040,18556,22075,21535,19144,19172,19810,20444,20759,19718,21905,22408,21339,20433,22563,22142,21033,21915,21001,19028,23192,21356,20533,20151,19998
Tracker Decay:,31740,32832,29104,28428,33355,29957,32595,35773,29781,29277,35212,29375,34246,32774,28440,27684,28948,34002,31724,35591,32387,32355,31863,32802,28263,35145,34657,30636,30795,33800,32704,29872,32326,31077,30955,32474,32979,26951,30474,33025,30696,36318,29596,30506,35498,30659,32802,30472,32450,31788,28756,31892,33192,33532,29470,33500,31682,30565,31400,29547,32016,31787,36113,33903,30448,29273,30623,30334,36924,31454,33992,35251,31251,32314,31976,32443,28824,34068,33135,29729,29814,30701,31535,31992,30467,33835,34675,32994,31784,34707,34037,32651,33964,32432,29399,35668,33051,31743,31081,30869
Calorimeter Decay,288,270,339,299,346,322,361,379,314,321,341,312,354,401,310,316,335,383,407,367,347,314,334,393,313,398,295,329,324,388,415,276,316,324,334,358,417,380,337,355,355,397,356,315,368,355,319,308,342,301,254,373,352,365,383,369,360,280,345,298,301,342,407,363,298,311,318,303,398,294,367,352,288,365,349,336,319,333,329,362,276,277,320,348,356,323,391,370,302,346,341,310,303,370,344,372,275,345,377,339
Stopped,32022,33094,29430,28725,33697,30277,32950,36147,30094,29592,35546,29676,34593,33169,28744,27994,29280,34378,32124,35953,32723,32663,32194,33189,28566,35533,34943,30955,31114,34183,33112,30144,32636,31394,31283,32829,33388,27325,30808,33373,31041,36710,29949,30816,35863,31006,33116,30766,32790,32084,29008,32254,33536,33889,29847,33865,32037,30834,31739,29839,32311,32116,36516,34256,30740,29581,30932,30633,37316,31747,34356,35594,31535,32674,32318,32771,29137,34390,33455,30084,30084,30969,31850,32334,30819,34147,35057,33358,32080,35046,34375,32957,34261,32793,29738,36032,33318,32081,31449,31205
Particles,32814,33871,30263,29444,34413,31048,33821,37032,30817,30371,36331,30414,35371,34014,29446,28745,30005,35263,32941,36777,33600,33423,32955,33994,29238,36351,35722,31720,31887,35059,33914,30892,33407,32156,32055,33625,34258,28101,31569,34182,31832,37562,30683,31592,36748,31799,33891,31594,33608,32803,29716,33105,34347,34723,30713,34669,32944,31569,32553,30575,32989,32942,37441,35132,31471,30334,31647,31424,38164,32486,35134,36420,32306,33552,33222,33490,29896,35174,34323,30787,30836,31705,32618,33112,31554,34924,35926,34127,32820,35865,35191,33720,35074,33542,30567,36887,34066,32881,32230,31985
